step,intersection_id,phase,total_queue_length,avg_waiting_time
1,INT_01,NS_GREEN,0,0.0
1,INT_02,NS_GREEN,0,0.0
2,INT_01,NS_GREEN,0,0.0
2,INT_02,NS_GREEN,0,0.0
3,INT_01,NS_GREEN,1,0.0
3,INT_02,NS_GREEN,0,0.0
4,INT_01,NS_GREEN,1,0.0
4,INT_02,NS_GREEN,0,0.0
5,INT_01,NS_GREEN,2,0.0
5,INT_02,NS_GREEN,0,0.0
6,INT_01,NS_GREEN,2,0.0
6,INT_02,NS_GREEN,1,0.0
7,INT_01,NS_GREEN,2,0.0
7,INT_02,NS_GREEN,1,0.0
8,INT_01,NS_GREEN,3,0.0
8,INT_02,NS_GREEN,1,0.0
9,INT_01,NS_GREEN,3,0.0
9,INT_02,NS_GREEN,1,0.0
10,INT_01,NS_GREEN,3,0.0
10,INT_02,EW_GREEN,0,2.0
11,INT_01,NS_GREEN,4,0.0
11,INT_02,EW_GREEN,1,2.0
12,INT_01,NS_GREEN,3,1.0
12,INT_02,EW_GREEN,3,2.0
13,INT_01,NS_GREEN,3,1.0
13,INT_02,EW_GREEN,2,1.6666666666666667
14,INT_01,NS_GREEN,3,1.0
14,INT_02,EW_GREEN,2,1.25
15,INT_01,EW_GREEN,2,6.5
15,INT_02,EW_GREEN,2,1.25
16,INT_01,EW_GREEN,1,8.0
16,INT_02,EW_GREEN,3,1.25
17,INT_01,EW_GREEN,1,8.0
17,INT_02,EW_GREEN,3,1.25
18,INT_01,EW_GREEN,1,8.5
18,INT_02,EW_GREEN,4,1.25
19,INT_01,EW_GREEN,1,8.5
19,INT_02,EW_GREEN,4,1.25
20,INT_01,EW_GREEN,1,8.5
20,INT_02,NS_GREEN,2,3.6666666666666665
21,INT_01,EW_GREEN,1,8.5
21,INT_02,NS_GREEN,3,3.857142857142857
22,INT_01,EW_GREEN,2,8.5
22,INT_02,NS_GREEN,3,3.375
23,INT_01,EW_GREEN,2,8.5
23,INT_02,NS_GREEN,3,3.375
24,INT_01,EW_GREEN,3,8.5
24,INT_02,NS_GREEN,2,3.6666666666666665
25,INT_01,EW_GREEN,3,8.5
25,INT_02,NS_GREEN,2,3.6666666666666665
26,INT_01,EW_GREEN,3,8.5
26,INT_02,NS_GREEN,3,3.6666666666666665
27,INT_01,EW_GREEN,3,8.5
27,INT_02,NS_GREEN,3,3.6666666666666665
28,INT_01,EW_GREEN,3,8.5
28,INT_02,NS_GREEN,3,3.6666666666666665
29,INT_01,EW_GREEN,4,8.5
29,INT_02,NS_GREEN,3,3.6666666666666665
30,INT_01,NS_GREEN,4,9.2
30,INT_02,EW_GREEN,2,4.2
31,INT_01,NS_GREEN,5,9.2
31,INT_02,EW_GREEN,1,4.7272727272727275
32,INT_01,NS_GREEN,4,9.333333333333334
32,INT_02,EW_GREEN,0,4.833333333333333
33,INT_01,NS_GREEN,4,9.333333333333334
33,INT_02,EW_GREEN,0,4.833333333333333
34,INT_01,NS_GREEN,4,9.333333333333334
34,INT_02,EW_GREEN,0,4.833333333333333
35,INT_01,NS_GREEN,3,9.571428571428571
35,INT_02,EW_GREEN,2,4.833333333333333
36,INT_01,NS_GREEN,4,9.571428571428571
36,INT_02,EW_GREEN,2,4.461538461538462
37,INT_01,NS_GREEN,5,9.571428571428571
37,INT_02,EW_GREEN,2,4.461538461538462
38,INT_01,NS_GREEN,4,9.5
38,INT_02,EW_GREEN,2,4.461538461538462
39,INT_01,NS_GREEN,3,7.9
39,INT_02,EW_GREEN,2,4.461538461538462
40,INT_01,NS_GREEN,3,7.454545454545454
40,INT_02,NS_GREEN,1,4.5
41,INT_01,NS_GREEN,3,7.454545454545454
41,INT_02,NS_GREEN,0,4.6
42,INT_01,NS_GREEN,4,7.454545454545454
42,INT_02,NS_GREEN,1,4.6
43,INT_01,NS_GREEN,5,7.454545454545454
43,INT_02,NS_GREEN,1,4.3125
44,INT_01,NS_GREEN,5,7.454545454545454
44,INT_02,NS_GREEN,1,4.3125
45,INT_01,EW_GREEN,4,8.0
45,INT_02,NS_GREEN,2,4.3125
46,INT_01,EW_GREEN,2,8.428571428571429
46,INT_02,NS_GREEN,2,4.3125
47,INT_01,EW_GREEN,2,8.428571428571429
47,INT_02,NS_GREEN,2,4.3125
48,INT_01,EW_GREEN,1,8.266666666666667
48,INT_02,NS_GREEN,2,4.0588235294117645
49,INT_01,EW_GREEN,1,8.266666666666667
49,INT_02,NS_GREEN,2,4.0588235294117645
50,INT_01,EW_GREEN,2,8.266666666666667
50,INT_02,EW_GREEN,2,4.0588235294117645
51,INT_01,EW_GREEN,4,8.266666666666667
51,INT_02,EW_GREEN,1,4.333333333333333
52,INT_01,EW_GREEN,6,8.266666666666667
52,INT_02,EW_GREEN,1,4.333333333333333
53,INT_01,EW_GREEN,6,7.875
53,INT_02,EW_GREEN,1,4.526315789473684
54,INT_01,EW_GREEN,6,7.875
54,INT_02,EW_GREEN,1,4.526315789473684
55,INT_01,EW_GREEN,5,7.588235294117647
55,INT_02,EW_GREEN,1,4.526315789473684
56,INT_01,EW_GREEN,5,7.588235294117647
56,INT_02,EW_GREEN,1,4.526315789473684
57,INT_01,EW_GREEN,5,7.588235294117647
57,INT_02,EW_GREEN,2,4.526315789473684
58,INT_01,EW_GREEN,6,7.588235294117647
58,INT_02,EW_GREEN,2,4.526315789473684
59,INT_01,EW_GREEN,6,7.588235294117647
59,INT_02,EW_GREEN,2,4.526315789473684
60,INT_01,NS_GREEN,5,8.11111111111111
60,INT_02,NS_GREEN,1,4.65
61,INT_01,NS_GREEN,6,8.263157894736842
61,INT_02,NS_GREEN,0,4.619047619047619
62,INT_01,NS_GREEN,5,8.428571428571429
62,INT_02,NS_GREEN,0,4.619047619047619
63,INT_01,NS_GREEN,3,8.391304347826088
63,INT_02,NS_GREEN,0,4.619047619047619
64,INT_01,NS_GREEN,3,8.391304347826088
64,INT_02,NS_GREEN,1,4.619047619047619
65,INT_01,NS_GREEN,4,8.391304347826088
65,INT_02,NS_GREEN,1,4.619047619047619
66,INT_01,NS_GREEN,4,8.391304347826088
66,INT_02,NS_GREEN,2,4.619047619047619
67,INT_01,NS_GREEN,4,8.391304347826088
67,INT_02,NS_GREEN,2,4.619047619047619
68,INT_01,NS_GREEN,3,8.291666666666666
68,INT_02,NS_GREEN,2,4.619047619047619
69,INT_01,NS_GREEN,3,8.291666666666666
69,INT_02,NS_GREEN,3,4.619047619047619
70,INT_01,NS_GREEN,3,8.291666666666666
70,INT_02,EW_GREEN,2,4.590909090909091
71,INT_01,NS_GREEN,3,8.291666666666666
71,INT_02,EW_GREEN,0,4.583333333333333
72,INT_01,NS_GREEN,3,8.291666666666666
72,INT_02,EW_GREEN,0,4.583333333333333
73,INT_01,NS_GREEN,3,8.291666666666666
73,INT_02,EW_GREEN,0,4.583333333333333
74,INT_01,NS_GREEN,3,8.291666666666666
74,INT_02,EW_GREEN,0,4.583333333333333
75,INT_01,EW_GREEN,3,8.291666666666666
